anho_nacimiento,nombre,fecha_creacion,total_obras,autor_id
,Shel Silverstein,2008-04-01T03:28:50.625462,152,0
1966,Sarah Waters,2008-04-01T03:28:50.625462,36,1
1956,Michel Houellebecq,2008-04-01T03:28:50.625462,85,2
1971,Gillian Flynn,2008-04-01T03:28:50.625462,43,3
1976,Yuval N. Harari,2008-04-30T20:50:18.033121,53,4
,,,8,5
,Don Raskin,2019-07-19T11:37:45.718721,1,6
,,2025-11-27T11:54:06.294424,1,7
1951,"Brown, Daniel",2008-04-01T03:28:50.625462,6,8
,Aracelis Girmay,2008-04-01T03:28:50.625462,13,9
,,2022-10-17T23:45:30.178727,3,10
1564,William Shakespeare,2008-04-01T03:28:50.625462,12542,11
,Jay Dee,,12,12
1979,Bryan Lee O'Malley,2008-04-01T03:28:50.625462,30,13
1963,Simon Reynolds,2008-04-01T03:28:50.625462,25,14
,Michael Azerrad,2008-04-01T03:28:50.625462,7,15
,Tyehimba Jess,,6,16
,,,10,17
,Todd Seavey,2019-07-19T11:26:26.716928,2,18
,,2020-08-04T23:53:30.938498,1,19
,,2016-10-14T16:50:54.019962,11,20
1952,David Byrne,2008-04-01T03:28:50.625462,35,21
,,,15,22
,,2020-05-17T22:46:50.000977,3,23
,,2020-05-17T11:48:32.214289,35,24
1953,Sebastian Faulks,2008-04-01T03:28:50.625462,57,25
1951,Wayne Stewart,,36,26
,,,384,27
,,2020-08-03T08:56:36.321627,6,28
1974,Banksy.,2008-04-29T15:03:11.581851,20,29
1952,Miguel Ruiz,2008-04-01T03:28:50.625462,97,30
1938,Gary D. Chapman,2008-04-01T03:28:50.625462,76,31
,,2016-10-14T11:58:31.411049,2,32
,,,73,33
1952,Jostein Gaarder,2008-04-01T03:28:50.625462,246,34
,Kathleen Martin,,25,35
1917,"Brooks, Gwendolyn",2008-04-01T03:28:50.625462,86,36
1927,"Schwartz, Alvin",2008-04-01T03:28:50.625462,82,37
1958,,2017-05-11T11:55:57.443440,13,38
,,2020-08-20T17:41:35.528055,4,39
,,2020-08-24T14:02:35.596414,2,40
1975,Matt Haig,2008-04-01T03:28:50.625462,139,41
1947,"Patterson, James",2008-04-01T03:28:50.625462,706,42
,,2020-08-04T22:51:31.144740,2,43
1957,Thomas W. Ward,2012-01-11T18:21:25.164403,1,44
,,2019-03-27T20:28:58.509150,7,45
1922,Charles M. Schulz,2008-04-29T15:03:11.581851,1735,46
1960,Neil Gaiman,2008-04-01T03:28:50.625462,504,47
,Nathanael Johnson,2012-08-08T07:30:12.506116,3,48
,,2019-03-18T17:25:57.661385,8,49
1975,Brandon Sanderson,2008-04-01T03:28:50.625462,190,50
1973,Natsuki Takaya,2008-04-01T03:28:50.625462,160,51
1961,Douglas Rushkoff,2008-04-01T03:28:50.625462,53,52
1975,Mariko Tamaki,2008-04-01T03:28:50.625462,93,53
,,2008-04-29T13:35:46.876380,4936,54
,,,,55
,Brian Farrey,2012-01-11T16:17:30.129338,8,56
,,2010-03-12T05:05:06.756207,60,57
,Jackson Burnett,2022-06-20T03:45:12.567520,1,58
