nacionalidad,autor_id
American,0
Welsh,1
French,2
American,3
Israeli,4
,5
,6
,7
,8
American,9
,10
English,11
American,12
Canadian,13
English,14
American,15
American,16
,17
,18
,19
,20
American,21
,22
,23
,24
British,25
,26
,27
,28
Graffiti,29
,30
,31
,32
,33
Norwegian,34
American,35
American,36
,37
,38
,39
,40
English,41
American,42
,43
Former,44
,45
American,46
English,47
,48
,49
American,50
Japanese,51
American,52
Canadian,53
,54
,55
,56
,57
,58
American,59
,60
American,61
,62
,63
Japanese,64
,65
American,66
American,67
,68
,69
English,70
,71
,72
Japanese,73
,74
American,75
English,76
English,77
American,78
,79
,80
American,81
,82
,83
American,84
Pen,85
English,86
,87
,88
American,89
Author,90
,91
American,92
,93
,94
,95
,96
,97
,98
,99
,100
,101
,102
,103
,104
,105
American,106
English,107
,108
,109
,110
,111
American,112
,113
American,114
,115
American,116
,117
American,118
American,119
American,120
,121
,122
,123
,124
,125
American,126
,127
Canadian-American,128
,129
,130
,131
American,132
,133
American,134
American,135
,136
American,137
American,138
American,139
,140
English,141
,142
British-American,143
,144
German,145
,146
American,147
English,148
Indian,149
,150
,151
,152
Afghan-American,153
,154
,155
,156
American,157
,158
,159
,160
American,161
Chinese,162
American,163
,164
,165
,166
,167
British-American,168
American,169
,170
,171
,172
,173
American,174
,175
English,176
American,177
Vietnamese-American,178
,179
American,180
American,181
American,182
American,183
American,184
,185
,186
American,187
,188
,189
,190
,191
,192
American,193
,194
,195
American,196
,197
,198
,199
,200
,201
American,202
,203
,204
,205
Canadian,206
British,207
British,208
,209
,210
,211
,212
,213
Indian,214
,215
,216
American,217
Chinese-British,218
American,219
,220
Science,221
,222
,223
British,224
,225
American,226
American,227
,228
,229
American,230
American,231
English,232
,233
American,234
Irish,235
,236
,237
American,238
,239
,240
American,241
American,242
American,243
,244
,245
American,246
American,247
American,248
,249
English,250
American,251
American,252
American,253
,254
American,255
,256
Austrian-British,257
UK,258
,259
English-American,260
American,261
American,262
American,263
,264
British,265
Japanese,266
,267
,268
American,269
,270
American,271
American,272
,273
American,274
British,275
,276
American,277
American,278
Japanese,279
American,280
,281
,282
American,283
,284
,285
,286
2015,287
American,288
,289
English,290
,291
,292
,293
American,294
,295
,296
Australian,297
,298
American,299
,300
American,301
,302
Welsh,303
,304
,305
,306
,307
British,308
American,309
,310
,311
American,312
,313
American,314
American,315
,316
,317
American,318
English,319
American,320
,321
,322
,323
,324
,325
,326
,327
American,328
American,329
,330
American,331
British,332
American,333
American,334
,335
American,336
American,337
American,338
American,339
American,340
American,341
,342
American,343
British,344
American,345
American,346
,347
American,348
,349
American,350
,351
,352
Australian,353
American,354
,355
,356
,357
,358
American,359
English,360
British,361
,362
